收盘,日期
1.335,2025-09-26
1.351,2025-09-29
1.366,2025-09-30
1.379,2025-10-09
1.35,2025-10-10
1.345,2025-10-13
1.325,2025-10-14
1.343,2025-10-15
1.349,2025-10-16
1.334,2025-10-17
1.328,2025-10-20
1.352,2025-10-21
1.344,2025-10-22
1.353,2025-10-23
1.366,2025-10-24
1.385,2025-10-27
1.378,2025-10-28
1.39,2025-10-29
1.38,2025-10-30
1.366,2025-10-31
1.367,2025-11-03
1.355,2025-11-04
1.36,2025-11-05
1.376,2025-11-06
1.375,2025-11-07
1.378,2025-11-10
1.364,2025-11-11
1.36,2025-11-12
1.378,2025-11-13
1.36,2025-11-14
1.352,2025-11-17
1.341,2025-11-18
1.347,2025-11-19
1.342,2025-11-20
1.309,2025-11-21
1.308,2025-11-24
1.319,2025-11-25
1.326,2025-11-26
1.326,2025-11-27
1.331,2025-11-28
1.342,2025-12-01
1.334,2025-12-02
1.332,2025-12-03
1.337,2025-12-04
1.349,2025-12-05
1.363,2025-12-08
1.348,2025-12-09
1.348,2025-12-10
1.341,2025-12-11
1.35,2025-12-12
1.345,2025-12-15
1.33,2025-12-16
1.345,2025-12-17
1.343,2025-12-18
1.354,2025-12-19
1.365,2025-12-22
1.362,2025-12-23
1.367,2025-12-24
1.37,2025-12-25
1.378,2025-12-26
1.372,2025-12-29
1.376,2025-12-30
1.368,2025-12-31
1.393,2026-01-05
1.41,2026-01-06
1.406,2026-01-07
1.399,2026-01-08
1.402,2026-01-09
1.427,2026-01-12
1.401,2026-01-13
1.425,2026-01-14
1.411,2026-01-15
1.39,2026-01-16
1.398,2026-01-19
1.396,2026-01-20
1.397,2026-01-21
1.396,2026-01-22
1.386,2026-01-23
