收盘,日期
0.916,2025-09-26
0.927,2025-09-29
0.932,2025-09-30
0.953,2025-10-09
0.934,2025-10-10
0.925,2025-10-13
0.912,2025-10-14
0.926,2025-10-15
0.928,2025-10-16
0.903,2025-10-17
0.909,2025-10-20
0.927,2025-10-21
0.922,2025-10-22
0.922,2025-10-23
0.934,2025-10-24
0.947,2025-10-27
0.944,2025-10-28
0.955,2025-10-29
0.948,2025-10-30
0.935,2025-10-31
0.935,2025-11-03
0.926,2025-11-04
0.932,2025-11-05
0.945,2025-11-06
0.943,2025-11-07
0.94,2025-11-10
0.938,2025-11-11
0.935,2025-11-12
0.945,2025-11-13
0.93,2025-11-14
0.924,2025-11-17
0.914,2025-11-18
0.915,2025-11-19
0.912,2025-11-20
0.882,2025-11-21
0.887,2025-11-24
0.896,2025-11-25
0.9,2025-11-26
0.896,2025-11-27
0.902,2025-11-28
0.907,2025-12-01
0.901,2025-12-02
0.898,2025-12-03
0.901,2025-12-04
0.907,2025-12-05
0.915,2025-12-08
0.909,2025-12-09
0.909,2025-12-10
0.905,2025-12-11
0.912,2025-12-12
0.907,2025-12-15
0.893,2025-12-16
0.901,2025-12-17
0.897,2025-12-18
0.911,2025-12-19
0.918,2025-12-22
0.917,2025-12-23
0.925,2025-12-24
0.929,2025-12-25
0.932,2025-12-26
0.926,2025-12-29
0.924,2025-12-30
0.914,2025-12-31
0.934,2026-01-05
0.942,2026-01-06
0.952,2026-01-07
0.95,2026-01-08
0.958,2026-01-09
0.961,2026-01-12
0.952,2026-01-13
0.95,2026-01-14
0.959,2026-01-15
0.966,2026-01-16
0.967,2026-01-19
0.963,2026-01-20
0.969,2026-01-21
0.977,2026-01-22
0.982,2026-01-23
